"Model","RMSE","MAE","R2"
"Linear Regression",0.0213453879239445,0.00837687192966638,0.97585128024202
"Random Forest",0.0384432159751379,0.0229156178187072,0.0397285645385989
"Gradient Boosting",0.0393827067652171,0.0252521840631372,0.0140321132698937
