"X","X.x","Municipality","X0_14","X15_24","X25_34","X35_44","X45_54","X55_64","Total.65","Total_POP","X.y","Ave_Incom_Onw_Rent","Houhold_Mon_Inco","X.x.x","One.Person.Household","Two.Person.Household","Three.Person.Household","Four.Person.Household","Five.Or.More.Person.Household","X.y.y","Couple.With.Children","Couple.Without.Children","Total.Lone..Parent.Households","Multiple..Family","Total.One..Person.Households","Other.Non.Family","X.x.x.x","Non.Immigrant","Non.Permanent.Resident","Immigrant","Landed.Before.2006","Landed.2006.to.2015","Recent.Immigrants..Landed.2016.2021.","X.y.y.y","Estimated_Monthly_Shelter_Cost","X.x.x.x.x","With.a.Mortgage","Without.a.Mortgage","Total.Private.Households.With.Mortgage.Status.Known","X.y.y.y.y","Single.Detached","Semi.Detached","Row","Duplex","Low.Rise.Apt.","High.Rise.Apt.","Other","Total_structure","Affordability_Ratio","Pct_0_14","Pct_15_24","Pct_25_34","Pct_35_44","Pct_45_54","Pct_55_64","Pct_65_Plus","Total_Households","Share_One_Person","Share_Two_Person","Share_Three_Person","Share_Four_Person","Share_FivePlus_Person","Total_Household_Type","Share_Couple_With_Children","Share_Couple_Without_Children","Share_Lone_Parent","Share_Multiple_Family","Share_One_Person_Household","Share_Other_Non_Family","Share_Immigrant","Share_Pre2006","Share_2006_2015","Share_Recent_Immigrant","Apartment_Share","Detached_Share","Missing_Middle_Share"
11,11,"Collingwood",3295,2235,2540,2630,2740,3825,7005,24275,11,47600,3966.66666666667,11,1902.5,2092.5,710,597.5,285,11,1152.5,1752.5,530,67.5,1902.5,185,11,4687.5,15,882.5,785,67.5,35,11,1445.55298724264,11,4160,3970,8125,11,3152.5,395,680,117.5,1005,237.5,12.5,5587.5,0.364425122834279,13.5736354273944,9.20700308959835,10.4634397528321,10.8341915550978,11.2873326467559,15.7569515962925,28.8568486096807,5587.5,0.340492170022371,0.374496644295302,0.127069351230425,0.106935123042506,0.051006711409396,5590,0.206171735241503,0.31350626118068,0.0948121645796064,0.0120751341681574,0.340339892665474,0.0330948121645796,0.0363542739443872,0.889518413597734,0.0764872521246459,0.0396600566572238,0.222371364653244,0.56420581655481,0.213422818791946
12,12,"Cornwall",9635,6030,7220,6575,6755,9660,13880,59750,12,41200,3433.33333333333,12,4397.5,5032.5,1767.5,1357.5,845,12,2802.5,3922.5,1595,175,4397.5,510,12,12205,102.5,1090,832.5,162.5,100,12,1002.39260017328,12,8940,7190,16130,12,7700,1147.5,625,895,2332.5,575,122.5,13400,0.291959009759208,16.1255230125523,10.092050209205,12.0836820083682,11.0041841004184,11.3054393305439,16.1673640167364,23.2301255230126,13400,0.328171641791045,0.375559701492537,0.131902985074627,0.101305970149254,0.0630597014925373,13402.5,0.209102779332214,0.292669278119754,0.119007647826898,0.0130572654355531,0.328110427159112,0.0380526021264689,0.0182426778242678,0.763761467889908,0.149082568807339,0.0917431192660551,0.216977611940299,0.574626865671642,0.199067164179104
13,13,"Elliot Lake",1175,725,875,930,1010,2105,4410,11225,13,38000,3166.66666666667,13,1162.5,1232.5,252.5,167.5,100,13,350,992.5,280,15,1162.5,120,13,2530,0,390,375,12.5,0,13,776.502929960575,13,1640,1905,3545,13,1315,550,292.5,35,440,287.5,0,2920,0.245211451566497,10.467706013363,6.45879732739421,7.79510022271715,8.28507795100223,8.9977728285078,18.7527839643653,39.2873051224944,2915,0.398799313893654,0.422813036020583,0.0866209262435678,0.0574614065180103,0.0343053173241852,2920,0.11986301369863,0.339897260273973,0.0958904109589041,0.00513698630136986,0.398116438356164,0.0410958904109589,0.0347438752783964,0.961538461538462,0.032051282051282,0,0.249143835616438,0.450342465753425,0.300513698630137
14,14,"Erin T",1815,1425,1165,1315,1890,2260,2080,11950,14,54000,4500,14,320,772.5,370,400,250,14,782.5,677.5,182.5,97.5,320,50,14,1640,0,467.5,440,22.5,5,14,1497.50896934116,14,2310,1340,3650,14,1930,12.5,0,37.5,60,0,67.5,2110,0.332779770964702,15.1882845188285,11.9246861924686,9.7489539748954,11.0041841004184,15.81589958159,18.9121338912134,17.4058577405858,2112.5,0.151479289940828,0.365680473372781,0.175147928994083,0.189349112426035,0.118343195266272,2110,0.37085308056872,0.321090047393365,0.0864928909952607,0.0462085308056872,0.151658767772512,0.023696682464455,0.0391213389121339,0.941176470588235,0.0481283422459893,0.0106951871657754,0.028436018957346,0.914691943127962,0.023696682464455
15,15,"Gravenhurst T",1500,1000,1195,1255,1340,2295,3540,12130,15,44400,3700,15,812.5,1187.5,352.5,250,147.5,15,502.5,967.5,280,65,812.5,122.5,15,2470,0,272.5,257.5,15,0,15,1153.5134180791,15,2180,2140,4320,15,2157.5,37.5,80,37.5,295,37.5,107.5,2750,0.311760383264622,12.3660346248969,8.24402308326463,9.85160758450124,10.3462489694971,11.0469909315746,18.9200329760923,29.1838417147568,2750,0.295454545454545,0.431818181818182,0.128181818181818,0.0909090909090909,0.0536363636363636,2750,0.182727272727273,0.351818181818182,0.101818181818182,0.0236363636363636,0.295454545454545,0.0445454545454545,0.0224649629018961,0.944954128440367,0.055045871559633,0,0.120909090909091,0.784545454545455,0.0563636363636364
16,16,"Greater Napanee T",2280,1500,1695,1685,1950,2705,4145,15960,16,42800,3566.66666666667,16,930,1412.5,475,382.5,237.5,16,845,1167.5,332.5,42.5,930,112.5,16,3187.5,0,247.5,225,10,12.5,16,1185.508721398,16,2755,2070,4830,16,2530,152.5,132.5,20,587.5,0,7.5,3435,0.332385622821869,14.2857142857143,9.3984962406015,10.6203007518797,10.5576441102757,12.218045112782,16.9486215538847,25.9711779448622,3437.5,0.270545454545455,0.410909090909091,0.138181818181818,0.111272727272727,0.0690909090909091,3430,0.246355685131195,0.340379008746356,0.0969387755102041,0.0123906705539359,0.271137026239067,0.032798833819242,0.0155075187969925,0.909090909090909,0.0404040404040404,0.0505050505050505,0.171033478893741,0.736535662299854,0.0887918486171761
17,17,"Greater Sudbury / Grand Sudbury",26305,19540,21385,20735,21375,25705,32575,167620,17,46400,3866.66666666667,17,11250,13382.5,5405,4537.5,2082.5,17,8865,10415,4075,495,11250,1562.5,17,33385,570,2705,2045,387.5,270,17,1185.97419222098,17,28025,19560,47580,17,22485,1710,1507.5,2140,6052.5,2392.5,365,36660,0.306717463505426,15.6932346975301,11.6573201288629,12.7580241021358,12.3702422145329,12.7520582269419,15.3352821858967,19.4338384440997,36657.5,0.306894905544568,0.365068539862238,0.14744595239719,0.123780945236309,0.0568096569596945,36662.5,0.241800204568701,0.284077736106376,0.111148994203887,0.0135015342652574,0.306853051483123,0.042618479372656,0.016137692399475,0.756007393715342,0.143253234750462,0.099815157116451,0.230360065466448,0.613338788870704,0.14614020731042
18,18,"Guelph",26900,21465,23915,22020,21370,21535,26280,163485,18,56000,4666.66666666667,18,8217.5,10670,5127.5,5127.5,2950,18,9820,8392.5,3100,772.5,8217.5,1787.5,18,23270,397.5,8422.5,6085,1432.5,900,18,1501.45883750671,18,27210,16730,43945,18,17162.5,1352.5,4500,1790,3977.5,3257.5,52.5,32085,0.321741179465724,16.4541089396581,13.1296449215524,14.6282533565771,13.4691256078539,13.0715356148882,13.1724623054103,16.07486925406,32092.5,0.256056711069565,0.332476435304199,0.159772532523175,0.159772532523175,0.0919217885798863,32090,0.306014334683702,0.261530071673419,0.0966033032097227,0.0240729199127454,0.25607665939545,0.0557027111249611,0.0515184879346729,0.722469575541704,0.170080142475512,0.106856634016028,0.225494779491974,0.534907277544024,0.238195418419822
19,19,"Haldimand County CY",8625,5235,5765,5685,5785,7850,9620,48565,19,44800,3733.33333333333,19,2117.5,3465,1442.5,1342.5,992.5,19,2942.5,2980,840,247.5,2117.5,235,19,8242.5,20,1095,950,115,32.5,19,1252.97502726511,19,9445,5925,15370,19,7897.5,292.5,340,157.5,607.5,27.5,40,9357.5,0.335618310874583,17.7597034901678,10.7793678575106,11.870688767631,11.7059610830845,11.9118706887676,16.1639040461238,19.8085040667147,9360,0.226228632478632,0.370192307692308,0.154113247863248,0.143429487179487,0.106036324786325,9362.5,0.314285714285714,0.318291054739653,0.0897196261682243,0.0264352469959947,0.226168224299065,0.0251001335113485,0.0225471018223,0.867579908675799,0.105022831050228,0.0296803652968037,0.0678600053433075,0.843975420785466,0.0844242586160834
20,20,"Hamilton",125670,91695,104275,101965,100550,108170,141120,773440,20,50800,4233.33333333333,20,41645,50140,24437.5,23625,13842.5,20,46635,38445,17545,3630,41645,5792.5,20,103977.5,2432.5,47280,36642.5,6812.5,3827.5,20,1437.76388779403,20,126655,83620,210270,20,84605,5082.5,21985,4040,12787.5,24825,370,153690,0.339629264833235,16.2481899048407,11.855476830782,13.4819766239139,13.1833109226314,13.0003620190319,13.9855709557302,18.2457592056268,153690,0.270967532045026,0.326241134751773,0.159005140217321,0.153718524302167,0.090067668683714,153692.5,0.303430551263074,0.25014232965174,0.114156513818176,0.0236185890658295,0.270963124420515,0.0376888917806659,0.0611294993793959,0.775010575296108,0.144088409475465,0.0809538917089679,0.244729650595354,0.550491248617347,0.202404190253107
