"Affordability_Ratio","Houhold_Mon_Inco","Estimated_Monthly_Shelter_Cost","Pct_0_14","Pct_15_24","Pct_25_34","Pct_35_44","Pct_45_54","Pct_55_64","Pct_65_Plus","Share_One_Person","Share_Two_Person","Share_Three_Person","Share_Four_Person","Share_FivePlus_Person","Share_Couple_With_Children","Share_Couple_Without_Children","Share_Lone_Parent","Share_Multiple_Family","Share_One_Person_Household","Share_Other_Non_Family","Share_Immigrant","Share_Pre2006","Share_2006_2015","Share_Recent_Immigrant","Apartment_Share","Detached_Share","Missing_Middle_Share"
0.332606103871264,4833.33333333333,1607.59616871111,17.1992101068259,12.5455021293807,13.6946539458971,13.4829054745307,13.4710094929933,14.2014227593919,15.402916894673,0.220715558950853,0.323338426279603,0.176661573720397,0.172077922077922,0.107206518971225,0.323827105480935,0.255649627602012,0.124196320580559,0.0311286523648864,0.220701508689286,0.0444967852823222,0.0386738359782066,0.763457397723777,0.161796370347585,0.073823438941864,0.144257703081232,0.679971988795518,0.174242424242424
0.302796087212134,3866.66666666667,1170.81153722025,15.7894736842105,10.2745995423341,12.3478260869565,11.8443935926773,11.5514874141876,16.324942791762,21.862700228833,0.277212724518502,0.385522614152781,0.146721488855226,0.116208612854361,0.0743345596191301,0.241207661508495,0.309598528297803,0.109187317389893,0.0200194784114273,0.277242722649064,0.0427442917433178,0.0211899313501144,0.83585313174946,0.103671706263499,0.0615550755939525,0.19452558693065,0.687871903061776,0.106242561938764
0.337655009636121,3800,1283.08903661726,13.7488815985684,9.39457202505219,10.4384133611691,10.9454220101402,11.6611989263346,17.3874142558902,26.4240978228452,0.278699861687414,0.401106500691563,0.134163208852006,0.123789764868603,0.0622406639004149,0.247229916897507,0.338642659279778,0.0893351800554017,0.0166204986149584,0.279085872576177,0.0290858725761773,0.0204294661497167,0.941605839416058,0.0145985401459854,0.0291970802919708,0.112569060773481,0.755524861878453,0.119475138121547
0.32856243853777,4000,1314.24975415108,17.3707762235298,11.5957859131109,12.8712871287129,12.9946090694479,12.4837038864029,14.2313519608189,18.4524858179768,0.256785714285714,0.343035714285714,0.160357142857143,0.143839285714286,0.0959821428571429,0.292957243595465,0.269035079889315,0.121931625457467,0.0254396143890029,0.256716950816746,0.0339194858520039,0.0344068214650647,0.799795186891961,0.139272913466462,0.0604198668714798,0.170982142857143,0.657767857142857,0.168571428571429
0.322146366146956,3600,1159.72691812904,11.831230969987,8.78642888212266,7.8294910830796,8.74293170943889,10.3958242714224,18.6602870813397,33.7103088299261,0.244510978043912,0.475049900199601,0.119760479041916,0.101796407185629,0.0588822355289421,0.211576846307385,0.42814371257485,0.0728542914171657,0.0199600798403194,0.244510978043912,0.0229540918163673,0.0365376250543715,0.93452380952381,0.0476190476190476,0.0119047619047619,0.0488534396809571,0.879361914257228,0.0578265204386839
0.302573422789631,4433.33333333333,1341.40884103403,17.2694026818367,8.98008939455506,13.0028443722064,12.7184071515644,10.8086143843966,16.4160910199106,20.8451848841934,0.231974921630094,0.369905956112853,0.153605015673981,0.146290491118077,0.0982236154649948,0.298538622129436,0.316283924843424,0.0939457202505219,0.0334029227557411,0.231732776617954,0.0260960334029228,0.0209264526615197,0.902912621359223,0.0776699029126214,0,0.0856844305120167,0.867293625914316,0.0470219435736677
0.302772014120746,3466.66666666667,1049.60964895192,12.7752590673575,10.2007772020725,10.330310880829,9.90932642487047,11.949481865285,17.5518134715026,27.315414507772,0.337950138504155,0.395429362880886,0.126385041551247,0.0917590027700831,0.0484764542936288,0.183645183645184,0.313236313236313,0.108801108801109,0.0159390159390159,0.338184338184338,0.0401940401940402,0.0249352331606218,0.847402597402597,0.100649350649351,0.0551948051948052,0.254847645429363,0.599722991689751,0.137465373961219
0.3394868871467,4200,1425.84492601614,17.4090389949421,10.5890031000163,11.3558492413118,12.0084842551803,12.3184858867678,14.9290259422418,21.3901125795399,0.226627712854758,0.379799666110184,0.146494156928214,0.15025041736227,0.0968280467445743,0.317175094024237,0.331801086502298,0.0814876723777685,0.0208942749686586,0.226911826159632,0.0217300459674049,0.0281448849730788,0.88695652173913,0.0753623188405797,0.0347826086956522,0.140292275574113,0.725678496868476,0.124425887265136
0.272182525632721,3533.33333333333,961.711590568947,16.2699578803017,11.0441767068273,10.7699089039083,11.2890586737193,11.8131060828681,16.2209814869233,22.6026055441277,0.303352967829633,0.381060262800181,0.133439057544178,0.109764386044404,0.072383325781604,0.239746204396102,0.308633582596873,0.10627690913211,0.0123498753682302,0.303421708588262,0.0295717199184228,0.0235821334116956,0.839044652128764,0.0996884735202492,0.0581516095534787,0.149898028552005,0.76036709721278,0.0837298889644233
0.322067152188305,4000,1288.26860875322,12.8412537917088,8.9737108190091,9.88372093023256,10.2881698685541,10.1617795753286,15.9504550050556,31.9009100101112,0.323110624315444,0.4052573932092,0.12486308871851,0.0952902519167579,0.0514786418400876,0.192771084337349,0.332420591456736,0.111719605695509,0.0136911281489595,0.323110624315444,0.0262869660460022,0.0375379170879676,0.929292929292929,0.0269360269360269,0.037037037037037,0.234939759036145,0.575575027382256,0.18565169769989
